Image Number,Single Core,Multiple Core,Multiple Threads (100),Multiple Threads (500)
1,0.16798,0.10107,0.09719,0.22452
2,0.32265,0.19383,0.12229,0.25815
3,0.46663,0.31848,0.13236,0.26322
4,0.58964,0.47482,0.13739,0.3353
5,0.76592,0.65649,0.13739,0.33796
6,0.83423,0.76382,0.15749,0.37927
7,0.93199,0.95013,0.16249,0.3984
8,0.93985,0.95368,0.16249,0.41842
9,0.96273,0.98859,0.16249,0.48041
10,0.96521,0.99061,0.17253,0.48948
11,0.98616,1.01883,0.2034,0.50786
12,1.00705,1.04098,0.20761,0.51796
13,1.02767,1.08378,0.20861,0.6618
14,1.03655,1.11404,0.22734,0.66821
15,1.07221,1.13865,0.22734,0.72231
16,1.09448,1.16884,0.23542,0.7233
17,1.11301,1.19401,0.2486,0.7233
18,1.16272,1.22423,0.26073,0.73034
19,1.20968,1.2847,0.26172,0.73236
20,1.25134,1.31508,0.27741,0.74243
21,1.29245,1.35555,0.31225,0.75046
22,1.33339,1.38882,0.34214,0.77056
23,1.37652,1.41898,0.34724,0.77258
24,1.458,1.52874,0.34724,0.77258
25,1.53636,1.65397,0.35225,0.89388
26,1.61803,1.78073,0.35225,0.89388
27,1.62203,1.78374,0.37244,0.89388
28,1.64416,1.81908,0.37497,0.90095
29,1.64728,1.8211,0.37756,0.91281
30,1.67604,1.83925,0.38713,0.91281
31,1.70923,1.86391,0.39214,0.91281
32,1.74823,1.89183,0.3972,0.92298
33,1.78948,1.91856,0.40726,0.95426
34,1.82887,1.944,0.40726,0.95426
35,1.86686,1.97791,0.41226,0.96332
36,1.91151,2.01082,0.41735,0.99292
37,1.95019,2.03974,0.43752,1.02594
38,1.98994,2.06966,0.44253,1.02694
39,2.02617,2.09859,0.4476,1.05598
40,2.07595,2.12602,0.45211,1.05895
41,2.11704,2.15295,0.45211,1.07604
42,2.15226,0.04046,0.46778,1.08466
43,2.23734,0.12827,0.48808,1.08849
44,2.24113,0.13131,0.49816,1.08948
45,2.26851,0.15142,0.51225,1.0908
46,2.27374,0.15346,0.52233,1.09179
47,2.3233,0.17156,0.52857,1.09483
48,2.37903,0.19829,0.53968,1.10521
49,2.43303,0.22833,0.54219,1.10819
50,2.48105,0.26449,0.54219,1.10819
51,2.51728,0.29481,0.54878,1.13745
52,2.55892,0.32865,0.55991,1.13745
53,2.62083,0.35843,0.56452,1.29918
54,2.68302,0.38591,0.56452,1.55079
55,2.76578,0.41872,0.56911,1.55287
56,2.82617,0.44852,0.57211,1.55287
57,2.90675,0.48483,0.57717,1.55287
58,2.9733,0.50852,0.60236,1.56192
59,3.04594,0.53881,0.61243,1.58536
